error	steps
19905317139.0	4747.0
19905317139.0	4748.0
19905317139.0	4749.0
19905317139.0	4750.0
19905317139.0	4751.0
19905317139.0	4752.0
19905317139.0	4753.0
19905317139.0	4754.0
19905317139.0	4755.0
19905317139.0	4756.0
19905317139.0	4757.0
19905317139.0	4758.0
19905317139.0	4759.0
19905317139.0	4760.0
19905317139.0	4761.0
19905317139.0	4762.0
19905317139.0	4763.0
19905317139.0	4764.0
19905317139.0	4765.0
19905317139.0	4766.0
19905317139.0	4767.0
19905317139.0	4768.0
19905317139.0	4769.0
19905317139.0	4770.0
19905317139.0	4771.0
19905317139.0	4772.0
19905317139.0	4773.0
19905317139.0	4774.0
19905317139.0	4775.0
19905317139.0	4776.0
19905317139.0	4777.0
19905317139.0	4778.0
19905317139.0	4779.0
19905317139.0	4780.0
19905317139.0	4781.0
19905317139.0	4782.0
19905317139.0	4783.0
19905317139.0	4784.0
19905317139.0	4785.0
19905317139.0	4786.0
19905317139.0	4787.0
19905317139.0	4788.0
19905317139.0	4789.0
19905317139.0	4790.0
19905317139.0	4791.0
19905317139.0	4792.0
19905317139.0	4793.0
19905317139.0	4794.0
19905317139.0	4795.0
19905317139.0	4796.0
19905304792.0	4797.0
19905304792.0	4798.0
19905304792.0	4799.0
19905304792.0	4800.0
19905304792.0	4801.0
19905304792.0	4802.0
19905304792.0	4803.0
19905304792.0	4804.0
19905304792.0	4805.0
19905304792.0	4806.0
19905304792.0	4807.0
19905304792.0	4808.0
19905304792.0	4809.0
19905304792.0	4810.0
19905304792.0	4811.0
19905304792.0	4812.0
19905304792.0	4813.0
19905304792.0	4814.0
19905304792.0	4815.0
19905304792.0	4816.0
19905304792.0	4817.0
19905304792.0	4818.0
19905304792.0	4819.0
19905304792.0	4820.0
19905304792.0	4821.0
19905304792.0	4822.0
19905304792.0	4823.0
19905304792.0	4824.0
19905304792.0	4825.0
19905304792.0	4826.0
19905304792.0	4827.0
19905304792.0	4828.0
19905304792.0	4829.0
19905304792.0	4830.0
19905304792.0	4831.0
19905304792.0	4832.0
19905304792.0	4833.0
19905304792.0	4834.0
19905304792.0	4835.0
19905304792.0	4836.0
19905304792.0	4837.0
19905272414.0	4838.0
19905272414.0	4839.0
19905272414.0	4840.0
19905272414.0	4841.0
19905272414.0	4842.0
19905272414.0	4843.0
19905272414.0	4844.0
19905272414.0	4845.0
19905272414.0	4846.0
19905272414.0	4847.0
19905272414.0	4848.0
19905272414.0	4849.0
19905272414.0	4850.0
19905272414.0	4851.0
19905272414.0	4852.0
19905272414.0	4853.0
19905272414.0	4854.0
19905272414.0	4855.0
19905272414.0	4856.0
19905272414.0	4857.0
19905272414.0	4858.0
19905272414.0	4859.0
19905272414.0	4860.0
19905272414.0	4861.0
19905272414.0	4862.0
19905272414.0	4863.0
19905272414.0	4864.0
19905272414.0	4865.0
19905272414.0	4866.0
19905272414.0	4867.0
19905272414.0	4868.0
19905272414.0	4869.0
19905272414.0	4870.0
19905272414.0	4871.0
19905272414.0	4872.0
19905272414.0	4873.0
19905272414.0	4874.0
19905272414.0	4875.0
19905272414.0	4876.0
19905272414.0	4877.0
19905272414.0	4878.0
19905272414.0	4879.0
19905272414.0	4880.0
19905272414.0	4881.0
19905272414.0	4882.0
19905272414.0	4883.0
19905272414.0	4884.0
19905272414.0	4885.0
19905272414.0	4886.0
19905272414.0	4887.0
19905272414.0	4888.0
19905272414.0	4889.0
19905272414.0	4890.0
19905272414.0	4891.0
19905272414.0	4892.0
19905272414.0	4893.0
19905272414.0	4894.0
19905272414.0	4895.0
19905272414.0	4896.0
19905272414.0	4897.0
19905272414.0	4898.0
19905272414.0	4899.0
19905272414.0	4900.0
19905272414.0	4901.0
19905272414.0	4902.0
19905272414.0	4903.0
19905261145.0	4904.0
19905261145.0	4905.0
19905261145.0	4906.0
19905261145.0	4907.0
19905261145.0	4908.0
19905261145.0	4909.0
19905261145.0	4910.0
19905261145.0	4911.0
19905261145.0	4912.0
19905261145.0	4913.0
19905261145.0	4914.0
19905261145.0	4915.0
19905261145.0	4916.0
19905261145.0	4917.0
19905261145.0	4918.0
19905261145.0	4919.0
19905261145.0	4920.0
19905261145.0	4921.0
19905261145.0	4922.0
19905261145.0	4923.0
19905261145.0	4924.0
19905261145.0	4925.0
19905261145.0	4926.0
19905261145.0	4927.0
19905261145.0	4928.0
19905261145.0	4929.0
19905261145.0	4930.0
19905261145.0	4931.0
19905261145.0	4932.0
19905261145.0	4933.0
19905261145.0	4934.0
19905261145.0	4935.0
19905261145.0	4936.0
19905261145.0	4937.0
19905261145.0	4938.0
19905261145.0	4939.0
19905261145.0	4940.0
19905261145.0	4941.0
19905261145.0	4942.0
19905261145.0	4943.0
19905261145.0	4944.0
19905261145.0	4945.0
19905261145.0	4946.0
19905261145.0	4947.0
19905261145.0	4948.0
19905261145.0	4949.0
19905261145.0	4950.0
19905261145.0	4951.0
19905261145.0	4952.0
19905261145.0	4953.0
19905261145.0	4954.0
19905261145.0	4955.0
19905261145.0	4956.0
19905261145.0	4957.0
19905261145.0	4958.0
19905261145.0	4959.0
19905261145.0	4960.0
19905261145.0	4961.0
19905261145.0	4962.0
19905261145.0	4963.0
19905261145.0	4964.0
19905261145.0	4965.0
19905261145.0	4966.0
19905261145.0	4967.0
19905261145.0	4968.0
19905261145.0	4969.0
19905261145.0	4970.0
19905261145.0	4971.0
19905261145.0	4972.0
19905261145.0	4973.0
19905261145.0	4974.0
19905261145.0	4975.0
19905261145.0	4976.0
19905261145.0	4977.0
19905261145.0	4978.0
19905261145.0	4979.0
19905261145.0	4980.0
19905261145.0	4981.0
19905156424.0	4982.0
19905156424.0	4983.0
19905156424.0	4984.0
19905156424.0	4985.0
19905156424.0	4986.0
19905156424.0	4987.0
19905156424.0	4988.0
19905156424.0	4989.0
19905156424.0	4990.0
19905156424.0	4991.0
19905156424.0	4992.0
19905156424.0	4993.0
19905156424.0	4994.0
19905156424.0	4995.0
19905156424.0	4996.0
19905156424.0	4997.0
